ViewTime is Morning and WeekDayIndex is 16
Got 2031 ratings from 889 users on 69 Items.
Training: 1229, validation: 388, test: 414
Rating(user=727, product=1256, rating=2.0536440929726268e-16)
Rating(user=559, product=1256, rating=2.248625955911412e-17)
Rating(user=948, product=1433, rating=1.0707401360994709e-16)
Rating(user=553, product=1433, rating=3.2621462627765523e-16)
Rating(user=1054, product=1433, rating=3.697976230412513e-17)
Rating(user=227, product=1433, rating=1.0407045744610956e-16)
Rating(user=645, product=1217, rating=1.103210541521387e-16)
Rating(user=236, product=1253, rating=5.008084604101814e-16)
Rating(user=1069, product=1253, rating=6.569151969656477e-18)
Rating(user=134, product=1253, rating=1.8258532498264086e-17)
Rating(user=643, product=1253, rating=2.0927128552693322e-17)
Rating(user=587, product=1253, rating=5.224191805420645e-17)
Rating(user=160, product=1161, rating=1.2655620066688274e-16)
Rating(user=1006, product=1157, rating=8.904063044251534e-18)
Rating(user=684, product=1133, rating=2.0255943988617855e-16)
Rating(user=508, product=1133, rating=2.6666888794516875e-17)
Rating(user=267, product=1133, rating=8.307973845174691e-17)
Rating(user=628, product=1413, rating=5.899252575933182e-17)
Rating(user=717, product=1413, rating=1.6593015848398405e-17)
Rating(user=842, product=1413, rating=2.5986504197221202e-17)
Rating(user=622, product=1413, rating=4.3422348772191707e-16)
Rating(user=238, product=1413, rating=1.2583019443483697e-17)
Rating(user=1086, product=1413, rating=1.854606704032593e-17)
Rating(user=482, product=1245, rating=3.3741650783159394e-17)
Rating(user=430, product=1245, rating=1.3764425961561219e-18)
Rating(user=396, product=1105, rating=2.3529401909384546e-17)
Rating(user=268, product=1105, rating=3.165120470805955e-17)
Rating(user=453, product=1105, rating=5.984138295447296e-17)
Rating(user=974, product=1105, rating=4.579468107363279e-16)
Rating(user=918, product=1105, rating=1.0017688247922187e-17)
Rating(user=970, product=1105, rating=8.02515450293215e-18)
Rating(user=688, product=1101, rating=8.459479888881065e-17)
Rating(user=1100, product=1101, rating=1.144973730901275e-17)
Rating(user=380, product=1101, rating=8.353632458173244e-18)
Rating(user=885, product=1101, rating=2.928032074799139e-17)
Rating(user=582, product=1101, rating=7.403848129711386e-17)
Rating(user=330, product=1101, rating=2.9419116364928067e-18)
Rating(user=198, product=1101, rating=1.1615995495319564e-17)
Rating(user=957, product=1437, rating=1.6053710540895177e-16)
Rating(user=749, product=1437, rating=3.182005417699099e-16)
Rating(user=130, product=1437, rating=2.637977778927898e-16)
Rating(user=307, product=1437, rating=8.643831895335282e-17)
Rating(user=892, product=1453, rating=1.4503566369354613e-16)
Rating(user=529, product=1453, rating=5.442777005394944e-17)
Rating(user=649, product=1453, rating=2.1813835675467222e-16)
Rating(user=401, product=1453, rating=2.087650922613391e-16)
Rating(user=1026, product=1453, rating=3.839905569552564e-16)
Rating(user=854, product=1453, rating=9.881539416253916e-17)
Rating(user=1038, product=1453, rating=2.3301601367198946e-16)
Rating(user=643, product=1453, rating=1.0406968191854251e-16)
Rating(user=332, product=1141, rating=6.351043378651541e-17)
Rating(user=924, product=1141, rating=1.4215159434668124e-16)
Rating(user=137, product=1141, rating=1.9401467340144147e-17)
Rating(user=817, product=1141, rating=1.76031345042586e-16)
Rating(user=1001, product=1141, rating=4.231081852094029e-17)
Rating(user=574, product=1141, rating=5.968986756689711e-17)
Rating(user=482, product=1141, rating=6.351043378651541e-17)
Rating(user=732, product=1441, rating=3.0150910404771165e-15)
Rating(user=672, product=1441, rating=6.393885931575249e-16)
Rating(user=504, product=1441, rating=2.653464738631748e-15)
Rating(user=977, product=1441, rating=1.3773886890725637e-16)
Rating(user=425, product=1441, rating=1.2038961673814226e-16)
Rating(user=747, product=1441, rating=1.8832639744834455e-16)
Rating(user=736, product=1493, rating=1.7016561842835504e-16)
Rating(user=504, product=1493, rating=1.4961961911596583e-16)
Rating(user=200, product=1493, rating=6.344397277413434e-18)
Rating(user=329, product=1493, rating=4.380458216618305e-17)
Rating(user=1009, product=1493, rating=4.492303285095304e-18)
Rating(user=822, product=1493, rating=2.610630364614909e-18)
Rating(user=734, product=1493, rating=4.3962910680709755e-17)
Rating(user=638, product=1493, rating=9.921821057642211e-18)
Rating(user=714, product=1493, rating=1.7967216017102035e-17)
Rating(user=595, product=1493, rating=6.792362602678464e-18)
Rating(user=1029, product=1129, rating=6.20390353285771e-17)
Rating(user=375, product=1129, rating=3.397637484937824e-17)
Rating(user=499, product=1129, rating=5.422480728033894e-17)
Rating(user=470, product=1470, rating=1.3921751388366608e-17)
Rating(user=618, product=1470, rating=9.134902783785719e-17)
Rating(user=998, product=1470, rating=1.0480210577094917e-17)
Rating(user=419, product=1470, rating=3.100038775837824e-19)
Rating(user=747, product=1470, rating=2.206786930485339e-17)
Rating(user=140, product=1054, rating=7.76439651602056e-17)
Rating(user=1032, product=1054, rating=7.111173431660395e-18)
Rating(user=488, product=1054, rating=8.799249984739919e-18)
Rating(user=1065, product=1054, rating=1.293696373122087e-17)
Rating(user=802, product=1054, rating=1.3060012612339578e-16)
Rating(user=801, product=1146, rating=1.6063343607427795e-17)
Rating(user=506, product=1146, rating=4.9231997630917234e-17)
Rating(user=570, product=1146, rating=2.3051003686134685e-17)
Rating(user=320, product=1298, rating=2.6869818938155444e-17)
Rating(user=928, product=1298, rating=4.2137030528192e-17)
Rating(user=439, product=1298, rating=9.304741042835489e-18)
Rating(user=255, product=1342, rating=1.1523440331468011e-17)
Rating(user=519, product=1342, rating=1.3285984875800118e-17)
Rating(user=1064, product=1274, rating=1.3787506338904064e-17)
Rating(user=864, product=1274, rating=9.045167865860487e-17)
Rating(user=693, product=1274, rating=1.2325155440236276e-17)
Rating(user=234, product=1274, rating=3.973068235733919e-18)
Rating(user=712, product=1378, rating=4.1603087721701347e-16)
Rating(user=280, product=1378, rating=1.8318128173838603e-17)
Rating(user=440, product=1050, rating=7.118465930577852e-17)
Rating(user=172, product=1050, rating=2.3489367385070507e-17)
Rating(user=488, product=1050, rating=2.475773177100183e-17)
Rating(user=708, product=1458, rating=1.6020668696207898e-16)
Rating(user=194, product=1458, rating=1.5646361102582656e-16)
Rating(user=970, product=1458, rating=3.5590250002187235e-17)
Rating(user=575, product=1458, rating=8.05987393413144e-17)
Rating(user=796, product=1194, rating=1.822237836908933e-16)
Rating(user=500, product=1194, rating=2.255821508883875e-16)
Rating(user=626, product=1194, rating=7.29986123087175e-17)
Rating(user=722, product=1194, rating=3.354945512503322e-17)
Rating(user=994, product=1194, rating=3.807461135906557e-17)
Rating(user=570, product=1194, rating=8.921277745064496e-17)
Rating(user=1063, product=1194, rating=5.933806067839421e-17)
Rating(user=762, product=1402, rating=5.899252575933181e-17)
Rating(user=114, product=1402, rating=5.650476673519032e-16)
Rating(user=692, product=1206, rating=4.834994661963898e-17)
Rating(user=750, product=1206, rating=2.651529198523526e-17)
Rating(user=422, product=1206, rating=2.6365705394962527e-17)
Rating(user=640, product=1238, rating=2.793920140992385e-17)
Rating(user=640, product=1238, rating=2.793920140992385e-17)
Rating(user=593, product=1238, rating=3.039635080072579e-17)
Rating(user=974, product=1338, rating=8.829411238689696e-17)
Rating(user=1006, product=1338, rating=2.9838030349570255e-18)
Rating(user=546, product=1338, rating=5.3277860818591714e-17)
Rating(user=494, product=1338, rating=1.3219336945096654e-17)
Rating(user=394, product=1338, rating=2.54356009741097e-17)
Rating(user=191, product=1338, rating=5.4526700150564006e-18)
Rating(user=1060, product=1446, rating=1.8755507089505818e-16)
Rating(user=756, product=1446, rating=2.0264943055996074e-17)
Rating(user=533, product=1446, rating=2.0142588820927732e-16)
Rating(user=589, product=1446, rating=4.487392126203999e-16)
Rating(user=141, product=1446, rating=5.925238032214751e-16)
Rating(user=505, product=1134, rating=1.1097767839110755e-17)
Rating(user=566, product=1134, rating=7.487285362427187e-17)
Rating(user=642, product=1134, rating=1.3191177230187799e-17)
Rating(user=674, product=1062, rating=1.745331643744474e-16)
Rating(user=542, product=1062, rating=2.1008285645877264e-17)
Rating(user=1095, product=1062, rating=1.745331643744474e-16)
Rating(user=1078, product=1114, rating=1.3272889790384461e-17)
Rating(user=662, product=1114, rating=2.7274572873279378e-17)
Rating(user=344, product=1110, rating=2.2556465462805987e-17)
Rating(user=596, product=1110, rating=1.144934262777927e-16)
Rating(user=510, product=1110, rating=2.840187351013419e-19)
Rating(user=849, product=1263, rating=2.3962621211570356e-17)
Rating(user=397, product=1263, rating=2.008218793546321e-16)
Rating(user=1094, product=1263, rating=1.7581223946404532e-17)
Rating(user=1076, product=1223, rating=1.8547926387492855e-17)
Rating(user=509, product=1223, rating=1.7676749274904187e-17)
Rating(user=143, product=1223, rating=9.785411988100085e-18)
Rating(user=304, product=1407, rating=3.1805481856434663e-17)
Rating(user=618, product=1407, rating=2.2768341913782286e-16)
Rating(user=344, product=1051, rating=7.04598733891316e-17)
Rating(user=128, product=1051, rating=3.9198948629216415e-16)
Rating(user=468, product=1051, rating=4.6199564083743127e-17)
Rating(user=842, product=1051, rating=5.327019703980982e-17)
Rating(user=698, product=1051, rating=1.9447189817006858e-17)
Rating(user=218, product=1051, rating=1.6133004540389106e-17)
Rating(user=358, product=1051, rating=6.927630906228308e-17)
Rating(user=364, product=1451, rating=3.128549107108148e-16)
Rating(user=438, product=1451, rating=9.585328388312518e-17)
Rating(user=714, product=1451, rating=2.423311728910733e-16)
Rating(user=846, product=1127, rating=1.889663572348311e-17)
Rating(user=173, product=1239, rating=1.0048483631860477e-17)
Rating(user=1098, product=1239, rating=8.02515450293215e-18)
Rating(user=212, product=1395, rating=5.088963949895655e-16)
Rating(user=456, product=1395, rating=1.1124784912762355e-17)
Rating(user=1058, product=1395, rating=2.259398563377482e-16)
Rating(user=714, product=1395, rating=6.112362010333255e-17)
Rating(user=924, product=1275, rating=7.634394399481756e-17)
Rating(user=364, product=1275, rating=4.068286390534607e-17)
Rating(user=724, product=1275, rating=1.3707741944901216e-17)
Rating(user=861, product=1275, rating=8.920659759287248e-17)
Rating(user=926, product=1275, rating=7.48780574328408e-17)
Rating(user=766, product=1275, rating=3.0042654618507063e-17)
Rating(user=354, product=1275, rating=1.5277565299155145e-17)
Rating(user=1031, product=1275, rating=6.878446353253631e-17)
Rating(user=871, product=1275, rating=4.412154640754744e-17)
Rating(user=328, product=1195, rating=3.052056190795835e-17)
Rating(user=648, product=1195, rating=1.2301557640719753e-17)
Rating(user=116, product=1195, rating=4.62438791974734e-16)
Rating(user=240, product=1195, rating=5.65072249738554e-17)
Rating(user=633, product=1195, rating=2.5584384990020768e-17)
Rating(user=186, product=1195, rating=6.621231102291367e-17)
Rating(user=150, product=1195, rating=2.253876042799616e-16)
Rating(user=594, product=1195, rating=4.7632825339886563e-17)
Rating(user=347, product=1195, rating=9.127127772943894e-17)
Rating(user=511, product=1195, rating=1.4909248293560775e-16)
Rating(user=952, product=1087, rating=2.7792626976065943e-17)
Rating(user=652, product=1479, rating=4.89453929303618e-17)
Rating(user=762, product=1479, rating=6.936306015558427e-17)
Rating(user=886, product=1479, rating=6.248263118022104e-17)
Rating(user=564, product=1231, rating=5.879294497317236e-18)
Rating(user=900, product=1231, rating=1.230047528240123e-17)
Rating(user=1006, product=1231, rating=1.094896214770276e-17)
Rating(user=1063, product=1231, rating=1.5872630559405717e-17)
Rating(user=1084, product=1359, rating=7.439280457295783e-19)
Rating(user=968, product=1359, rating=3.100038775837824e-19)
Rating(user=1065, product=1359, rating=1.1535522216998166e-18)
Rating(user=354, product=1359, rating=9.67189056636584e-19)
Rating(user=1022, product=1359, rating=6.506904084152524e-18)
Rating(user=538, product=1359, rating=2.928681516377694e-18)
Rating(user=358, product=1359, rating=1.2931885950677048e-18)
end predictions
(108, 1206, 4.0)
(114, 1402, 4.0)
(188, 1298, 3.0)
(191, 1338, 1.0)
(192, 1216, 4.0)
(194, 1458, 5.0)
(198, 1101, 3.0)
(200, 1493, 4.0)
(204, 1238, 3.0)
(204, 1157, 3.0)
(206, 1433, 5.0)
(212, 1395, 4.0)
(214, 1275, 3.0)
(218, 1051, 4.0)
(226, 1280, 3.0)
(227, 1433, 5.0)
(232, 1275, 3.0)
(234, 1274, 3.0)
(236, 1253, 3.0)
(238, 1413, 4.0)
(239, 1308, 3.0)
(240, 1195, 4.0)
(241, 1016, 2.0)
(242, 1396, 4.0)
(248, 1146, 2.0)
(255, 1342, 1.0)
(258, 1004, 1.0)
(260, 1451, 5.0)
(260, 1298, 3.0)
(263, 1051, 4.0)
(267, 1133, 3.0)
(268, 1105, 3.0)
(270, 1332, 1.0)
(274, 1420, 4.0)
(116, 1195, 4.0)
(125, 1428, 5.0)
(126, 1420, 4.0)
(128, 1051, 3.0)
(278, 1288, 3.0)
(280, 1444, 5.0)
(280, 1378, 4.0)
(284, 1161, 3.0)
(298, 1332, 1.0)
(300, 1275, 3.0)
(302, 1108, 3.0)
(304, 1407, 4.0)
(307, 1437, 5.0)
(310, 1216, 4.0)
(316, 1496, 5.0)
(319, 1110, 3.0)
(320, 1298, 3.0)
(322, 1004, 1.0)
(324, 1493, 2.0)
(325, 1132, 4.0)
(328, 1195, 4.0)
(329, 1493, 3.0)
(330, 1101, 3.0)
(330, 1420, 4.0)
(332, 1141, 1.0)
(339, 1444, 5.0)
(341, 1288, 3.0)
(344, 1051, 2.0)
(344, 1110, 3.0)
(347, 1195, 4.0)
(354, 1275, 3.0)
(354, 1359, 1.0)
(356, 1216, 4.0)
(357, 1212, 4.0)
(358, 1051, 1.0)
(358, 1359, 1.0)
(359, 1288, 3.0)
(360, 1051, 4.0)
(360, 1275, 3.0)
(364, 1451, 5.0)
(364, 1275, 3.0)
(375, 1129, 3.0)
(378, 1133, 3.0)
(380, 1101, 3.0)
(392, 1332, 1.0)
(394, 1338, 1.0)
(396, 1105, 3.0)
(397, 1263, 3.0)
(401, 1453, 5.0)
(408, 1148, 1.0)
(414, 1332, 1.0)
(414, 1256, 3.0)
(418, 1437, 5.0)
(419, 1470, 3.0)
(422, 1206, 4.0)
(425, 1441, 5.0)
(428, 1238, 3.0)
(430, 1245, 3.0)
(436, 1105, 3.0)
(436, 1280, 3.0)
(438, 1451, 5.0)
(439, 1298, 3.0)
(440, 1050, 5.0)
(447, 1332, 1.0)
(453, 1105, 3.0)
(454, 1359, 1.0)
(456, 1395, 4.0)
(468, 1051, 4.0)
(130, 1437, 5.0)
(132, 1133, 3.0)
(132, 1420, 4.0)
(134, 1253, 3.0)
(137, 1141, 1.0)
(140, 1054, 3.0)
(141, 1446, 5.0)
(143, 1223, 3.0)
(469, 1332, 1.0)
(470, 1470, 3.0)
(474, 1493, 1.0)
(478, 1132, 3.0)
(482, 1245, 3.0)
(482, 1141, 3.0)
(485, 1051, 5.0)
(488, 1050, 4.0)
(488, 1054, 1.0)
(492, 1378, 4.0)
(492, 1217, 4.0)
(493, 1274, 3.0)
(494, 1338, 1.0)
(498, 1110, 3.0)
(498, 1016, 5.0)
(498, 1132, 4.0)
(499, 1129, 1.0)
(500, 1194, 4.0)
(502, 1127, 4.0)
(502, 1396, 4.0)
(503, 1054, 5.0)
(504, 1493, 1.0)
(504, 1441, 5.0)
(505, 1134, 4.0)
(506, 1146, 5.0)
(508, 1133, 2.0)
(509, 1223, 3.0)
(510, 1110, 3.0)
(511, 1195, 4.0)
(512, 1108, 3.0)
(514, 1132, 1.0)
(514, 1256, 3.0)
(516, 1217, 4.0)
(516, 1280, 3.0)
(517, 1253, 3.0)
(518, 1051, 2.0)
(519, 1342, 1.0)
(528, 1245, 3.0)
(528, 1129, 3.0)
(529, 1453, 5.0)
(530, 1231, 3.0)
(533, 1446, 5.0)
(538, 1359, 1.0)
(542, 1062, 5.0)
(542, 1460, 5.0)
(546, 1256, 3.0)
(546, 1338, 1.0)
(553, 1433, 5.0)
(558, 1217, 4.0)
(559, 1256, 3.0)
(564, 1231, 3.0)
(565, 1332, 1.0)
(566, 1134, 5.0)
(570, 1146, 4.0)
(570, 1194, 4.0)
(574, 1141, 4.0)
(575, 1458, 5.0)
(580, 1298, 3.0)
(582, 1101, 3.0)
(584, 1428, 5.0)
(587, 1253, 3.0)
(589, 1446, 5.0)
(590, 1087, 3.0)
(590, 1437, 5.0)
(593, 1238, 3.0)
(594, 1195, 4.0)
(595, 1493, 2.0)
(596, 1110, 3.0)
(596, 1256, 3.0)
(602, 1308, 5.0)
(610, 1127, 1.0)
(612, 1444, 5.0)
(613, 1195, 4.0)
(617, 1395, 4.0)
(618, 1407, 4.0)
(618, 1470, 1.0)
(620, 1132, 4.0)
(622, 1413, 4.0)
(626, 1460, 5.0)
(626, 1194, 4.0)
(628, 1413, 4.0)
(628, 1332, 1.0)
(631, 1256, 3.0)
(633, 1195, 4.0)
(638, 1493, 3.0)
(640, 1238, 3.0)
(640, 1238, 3.0)
(641, 1051, 4.0)
(642, 1134, 5.0)
(643, 1453, 5.0)
(643, 1253, 3.0)
(644, 1206, 4.0)
(645, 1217, 4.0)
(648, 1195, 4.0)
(649, 1453, 5.0)
(652, 1396, 4.0)
(652, 1479, 1.0)
(654, 1194, 4.0)
(656, 1108, 3.0)
(656, 1458, 5.0)
(662, 1114, 3.0)
(672, 1441, 5.0)
(674, 1444, 5.0)
(674, 1062, 5.0)
(679, 1493, 5.0)
(684, 1133, 4.0)
(687, 1444, 5.0)
(688, 1101, 3.0)
(690, 1378, 4.0)
(692, 1206, 4.0)
(693, 1274, 3.0)
(695, 1470, 1.0)
(697, 1148, 4.0)
(698, 1051, 5.0)
(699, 1148, 3.0)
(707, 1332, 1.0)
(708, 1458, 5.0)
(712, 1378, 4.0)
(714, 1493, 5.0)
(714, 1395, 4.0)
(714, 1451, 5.0)
(717, 1413, 4.0)
(722, 1194, 4.0)
(724, 1275, 3.0)
(727, 1256, 3.0)
(728, 1062, 2.0)
(728, 1146, 1.0)
(732, 1441, 5.0)
(105, 1114, 3.0)
(144, 1338, 1.0)
(150, 1195, 4.0)
(152, 1288, 3.0)
(154, 1359, 1.0)
(155, 1132, 1.0)
(156, 1274, 3.0)
(159, 1444, 5.0)
(160, 1161, 3.0)
(167, 1444, 5.0)
(172, 1050, 1.0)
(173, 1239, 3.0)
(178, 1110, 3.0)
(179, 1263, 3.0)
(180, 1441, 5.0)
(180, 1253, 3.0)
(186, 1195, 4.0)
(734, 1493, 2.0)
(735, 1132, 1.0)
(736, 1493, 4.0)
(738, 1194, 4.0)
(747, 1441, 5.0)
(747, 1470, 5.0)
(749, 1437, 5.0)
(750, 1148, 3.0)
(750, 1206, 4.0)
(752, 1420, 4.0)
(756, 1446, 5.0)
(760, 1274, 3.0)
(762, 1402, 4.0)
(762, 1479, 4.0)
(766, 1444, 5.0)
(766, 1275, 3.0)
(776, 1133, 1.0)
(776, 1402, 4.0)
(776, 1110, 3.0)
(782, 1280, 3.0)
(787, 1460, 5.0)
(794, 1238, 3.0)
(796, 1194, 4.0)
(800, 1359, 1.0)
(801, 1146, 2.0)
(802, 1054, 2.0)
(812, 1342, 1.0)
(815, 1437, 5.0)
(815, 1496, 5.0)
(817, 1141, 4.0)
(817, 1496, 3.0)
(822, 1493, 2.0)
(828, 1332, 1.0)
(833, 1129, 2.0)
(839, 1420, 4.0)
(842, 1413, 4.0)
(842, 1051, 5.0)
(846, 1127, 2.0)
(846, 1428, 5.0)
(847, 1275, 3.0)
(849, 1263, 3.0)
(853, 1127, 3.0)
(854, 1453, 5.0)
(861, 1275, 3.0)
(864, 1274, 3.0)
(870, 1288, 3.0)
(871, 1275, 3.0)
(880, 1096, 3.0)
(885, 1101, 3.0)
(886, 1479, 5.0)
(892, 1453, 5.0)
(894, 1308, 2.0)
(900, 1231, 3.0)
(910, 1470, 4.0)
(912, 1359, 1.0)
(914, 1460, 5.0)
(918, 1105, 3.0)
(924, 1141, 3.0)
(924, 1275, 3.0)
(926, 1275, 3.0)
(928, 1298, 3.0)
(934, 1308, 2.0)
(935, 1212, 4.0)
(940, 1134, 1.0)
(940, 1441, 5.0)
(944, 1460, 5.0)
(946, 1446, 5.0)
(948, 1433, 5.0)
(950, 1157, 3.0)
(952, 1087, 3.0)
(957, 1437, 5.0)
(963, 1359, 1.0)
(964, 1148, 1.0)
(968, 1359, 1.0)
(970, 1105, 3.0)
(970, 1458, 5.0)
(974, 1105, 3.0)
(974, 1338, 1.0)
(976, 1338, 1.0)
(977, 1441, 5.0)
(980, 1016, 4.0)
(986, 1332, 1.0)
(987, 1444, 5.0)
(990, 1288, 3.0)
(990, 1444, 5.0)
(991, 1216, 4.0)
(992, 1239, 3.0)
(994, 1194, 4.0)
(998, 1470, 5.0)
(1001, 1141, 5.0)
(1006, 1157, 3.0)
(1006, 1231, 3.0)
(1006, 1338, 1.0)
(1009, 1493, 2.0)
(1010, 1444, 5.0)
(1015, 1359, 1.0)
(1017, 1096, 3.0)
(1021, 1479, 3.0)
(1022, 1496, 3.0)
(1022, 1359, 1.0)
(1026, 1453, 5.0)
(1027, 1148, 4.0)
(1029, 1129, 3.0)
(1031, 1275, 3.0)
(1032, 1054, 3.0)
(1033, 1359, 1.0)
(1038, 1453, 5.0)
(1048, 1051, 3.0)
(1049, 1216, 4.0)
(1054, 1433, 5.0)
(1058, 1395, 4.0)
(1060, 1446, 5.0)
(1062, 1395, 4.0)
(1063, 1231, 3.0)
(1063, 1194, 4.0)
(1064, 1274, 3.0)
(1065, 1359, 1.0)
(1065, 1054, 4.0)
(1066, 1004, 1.0)
(1069, 1253, 3.0)
(1076, 1223, 3.0)
(1077, 1157, 3.0)
(1078, 1114, 3.0)
(1080, 1263, 3.0)
(1084, 1359, 1.0)
(1086, 1413, 4.0)
(1089, 1298, 3.0)
(1090, 1133, 3.0)
(1091, 1212, 4.0)
(1094, 1263, 3.0)
(1095, 1062, 3.0)
(1098, 1239, 3.0)
(1100, 1101, 3.0)
(2.927627632366412e-17, 3.0)
(2.1813835675467222e-16, 5.0)
(1.9401467340144147e-17, 1.0)
(4.412154640754744e-17, 3.0)
(1.6020668696207898e-16, 5.0)
(9.586228221183599e-17, 3.0)
(1.822237836908933e-16, 4.0)
(4.926907768801172e-16, 5.0)
(2.1743576599010071e-16, 5.0)
(6.20390353285771e-17, 3.0)
(3.285386996123732e-16, 2.0)
(1.9219289256701627e-18, 3.0)
(8.799249984739919e-18, 1.0)
(1.8862887154473692e-16, 3.0)
(2.3489367385070507e-17, 1.0)
(4.348805413210826e-19, 1.0)
(2.793920140992385e-17, 3.0)
(2.793920140992385e-17, 3.0)
(2.793920140992385e-17, 3.0)
(2.793920140992385e-17, 3.0)
(1.4909248293560775e-16, 4.0)
(2.087650922613391e-16, 5.0)
(5.984138295447296e-17, 3.0)
(2.2556465462805987e-17, 3.0)
(7.111173431660395e-18, 3.0)
(5.442777005394944e-17, 5.0)
(8.628829798322678e-17, 5.0)
(4.492303285095304e-18, 2.0)
(1.103210541521387e-16, 4.0)
(4.231081852094029e-17, 5.0)
(2.2309051157905127e-17, 4.0)
(2.3454906439380373e-17, 2.0)
(6.878446353253631e-17, 3.0)
(4.380458216618305e-17, 3.0)
(1.76031345042586e-16, 4.0)
(2.687667003576859e-16, 5.0)
(2.255821508883875e-16, 4.0)
(2.2768341913782286e-16, 4.0)
(6.927630906228308e-17, 1.0)
(1.6063343607427795e-17, 2.0)
(3.121441122826348e-17, 1.0)
(5.008084604101814e-16, 3.0)
(9.585328388312518e-17, 5.0)
(2.0142588820927732e-16, 5.0)
(1.2655620066688274e-16, 3.0)
(6.393885931575249e-16, 5.0)
(1.144973730901275e-17, 3.0)
(2.253876042799616e-16, 4.0)
(4.487392126203999e-16, 5.0)
(5.899252575933182e-17, 4.0)
(7.48780574328408e-17, 3.0)
(2.928681516377694e-18, 1.0)
(1.4765291677316448e-16, 5.0)
(2.7897307437669553e-17, 4.0)
(4.568908250236094e-17, 3.0)
(6.573280830655258e-17, 4.0)
(8.353632458173244e-18, 3.0)
(3.0042654618507063e-17, 3.0)
(6.936306015558427e-17, 4.0)
(6.351043378651541e-17, 1.0)
(1.4215159434668124e-16, 3.0)
(9.67189056636584e-19, 1.0)
(2.0255943988617855e-16, 4.0)
(5.925238032214751e-16, 5.0)
(8.02515450293215e-18, 3.0)
(2.653464738631748e-15, 5.0)
(2.6666888794516875e-17, 2.0)
(1.4503566369354613e-16, 5.0)
(2.613141738265284e-17, 1.0)
(2.4271952894447602e-17, 4.0)
(5.599165406430809e-17, 4.0)
(8.477441544086434e-17, 3.0)
(1.7676749274904187e-17, 3.0)
(1.0048483631860477e-17, 3.0)
(1.748476103411846e-17, 1.0)
(2.549048732479084e-17, 4.0)
(2.008218793546321e-16, 3.0)
(4.9038126350831156e-18, 1.0)
(8.829411238689696e-17, 1.0)
(1.8832639744834455e-16, 5.0)
(1.0407045744610956e-16, 5.0)
(1.3219336945096654e-17, 1.0)
(2.5584384990020768e-17, 4.0)
(1.3060012612339578e-16, 2.0)
(9.134902783785719e-17, 1.0)
(1.745331643744474e-16, 5.0)
(2.7274572873279378e-17, 3.0)
(1.1129764861177188e-17, 1.0)
(5.422480728033894e-17, 1.0)
(1.3272889790384461e-17, 3.0)
(2.9838030349570255e-18, 1.0)
(1.3191177230187799e-17, 5.0)
(1.0018504560939429e-17, 1.0)
(4.89453929303618e-17, 1.0)
(4.579468107363279e-16, 3.0)
(1.558762266603068e-16, 3.0)
(1.1523440331468011e-17, 1.0)
(4.009165414082095e-17, 4.0)
(7.04598733891316e-17, 2.0)
(2.5986504197221202e-17, 4.0)
(6.351043378651541e-17, 3.0)
(4.673956127237e-17, 2.0)
(1.1124784912762355e-17, 4.0)
(1.745331643744474e-16, 3.0)
(2.9298599507894105e-17, 3.0)
(1.230047528240123e-17, 3.0)
(1.0017688247922187e-17, 3.0)
(5.65072249738554e-17, 4.0)
(1.2301557640719753e-17, 4.0)
(2.9419116364928067e-18, 3.0)
(3.3741650783159394e-17, 3.0)
(2.637977778927898e-16, 5.0)
(1.3285984875800118e-17, 1.0)
(3.697976230412513e-17, 5.0)
(1.8547926387492855e-17, 3.0)
(5.879294497317236e-18, 3.0)
(3.9198948629216415e-16, 3.0)
(1.982844130635941e-16, 5.0)
(1.7967216017102035e-17, 5.0)
(4.8480796059353464e-17, 4.0)
(7.439280457295783e-19, 1.0)
(3.052056190795835e-17, 4.0)
(3.839905569552564e-16, 5.0)
(1.6053710540895177e-16, 5.0)
(1.8318128173838603e-17, 4.0)
(2.6869818938155444e-17, 3.0)
(1.3178451960310197e-17, 4.0)
(4.834994661963898e-17, 4.0)
(3.182005417699099e-16, 5.0)
(1.3787506338904064e-17, 3.0)
(1.2038961673814226e-16, 5.0)
(1.6772442783380457e-17, 4.0)
(1.3773886890725637e-16, 5.0)
(1.8755507089505818e-16, 5.0)
(1.6593015848398405e-17, 4.0)
(1.526891640654221e-16, 1.0)
(4.2137030528192e-17, 3.0)
(2.928032074799139e-17, 3.0)
(2.457464039929738e-17, 1.0)
(1.144934262777927e-16, 3.0)
(2.14538395288996e-17, 3.0)
(4.1603087721701347e-16, 4.0)
(9.62616554805436e-18, 3.0)
(9.373735925802633e-18, 5.0)
(1.5872630559405717e-17, 3.0)
(1.69360411317822e-16, 3.0)
(9.045167865860487e-17, 3.0)
(9.127127772943894e-17, 4.0)
(2.475773177100183e-17, 4.0)
(7.76439651602056e-17, 3.0)
(7.118465930577852e-17, 5.0)
(1.007581256109549e-18, 1.0)
(9.625411227230944e-18, 4.0)
(6.569151969656477e-18, 3.0)
(3.2621462627765523e-16, 5.0)
(1.5127420229588877e-15, 5.0)
(2.0264943055996074e-17, 5.0)
(1.6882861400856465e-16, 5.0)
(1.2913264159396926e-17, 4.0)
(9.785411988100085e-18, 3.0)
(1.2325155440236276e-17, 3.0)
(5.327019703980982e-17, 5.0)
(6.112362010333255e-17, 4.0)
(1.889663572348311e-17, 2.0)
(1.293696373122087e-17, 4.0)
